"","line_id","line_name","city_id"
"1",43,"Línea 2",4
"2",75,"Línea 3 Metro de Caracas",34
"3",107,"Línea 1",126
"4",604,"La navette",74
"5",61,"Línea 1 (Tramo 1A)",66
"6",1471,"Tokaido Shinkansen",91
"7",5,"A",1
"8",168,"Línea 1",261
"9",219,"14",110
"10",45,"Línea 4",4
"11",40,"Línea 4A",4
"12",46,"Línea 5",4
"13",60,"Línea 6",4
"14",70,"MetroTren Nos",4
"15",223,"12",110
"16",227,"M1",79
"17",217,"Ramal San Felipe - Putaendo",4
"18",225,"M5",79
"19",141,"Troncal C - Suba",21
"20",610,"22A",118
"21",42,"Línea 1",4
"22",62,"Línea 2 (Tramo 1A)",66
"23",72,"FFCC Llano del Maipo",4
"24",73,"FFCC Yungay-Barrancas",4
"25",221,"FFCC Red Sur",4
"26",200,"FFCC Santiago - Valparaiso",4
"27",158,"FFCC de Circunvalación",4
"28",133,"Jinshan Line",107
"29",134,"Maglev",107
"30",147,"Route 71 Yan'an eBRT",107
"31",148,"Songjiang T1",107
"32",149,"Songjiang T2",107
"33",150,"Zhangjiang Tram",107
"34",6,"B",1
"35",7,"C",1
"36",8,"D",1
"37",10,"H",1
"38",170,"Tren interurbano México - Toluca",78
"39",11,"Premetro",1
"40",64,"Línea 4",66
"41",65,"Línea 5",66
"42",66,"Línea 6",66
"43",154,"U3",118
"44",155,"U4",118
"45",156,"U6",118
"46",119,"Line 1",107
"47",120,"Line 2",107
"48",121,"Line 3",107
"49",122,"Line 4",107
"50",123,"Line 6",107
"51",124,"Line 5",107
"52",125,"Line 7",107
"53",126,"Line 8",107
"54",127,"Line 9",107
"55",129,"Line 11",107
"56",130,"Line 12",107
"57",131,"Line 13",107
"58",135,"Line 17",107
"59",136,"Line 18",107
"60",138,"Line 15",107
"61",213,"Troncal D - Calle 80",21
"62",226,"S9",79
"63",222,"Premetro Lines",110
"64",145,"19",110
"65",220,"10",110
"66",173,"Line 1",15
"67",174,"Line 2",15
"68",175,"Line 4",15
"69",176,"Line 5",15
"70",177,"Line 6",15
"71",179,"Line 8",15
"72",180,"Line 9",15
"73",181,"Line 10",15
"74",182,"Line 13",15
"75",183,"Line 14",15
"76",187,"Changping Line",15
"77",188,"Fangshan Line",15
"78",59,"Línea 3",4
"79",191,"Yizhuang Line",15
"80",1472,"Sanyo Shinkansen",91
"81",279,"Expresso Turístico • Luz-Mogi das Cruzes (CPTM)",106
"82",1598,"Milngavie Branch",48
"83",192,"Batong Line",15
"84",77,"Línea 1",78
"85",229,"M3",79
"86",95,"1",71
"87",96,"2",71
"88",97,"3",71
"89",98,"4",71
"90",99,"5",71
"91",100,"6",71
"92",101,"7",71
"93",102,"8",71
"94",104,"10",71
"95",105,"11",71
"96",110,"12",71
"97",83,"L1",14
"98",85,"L3",14
"99",89,"L7",14
"100",90,"L8",14
"101",91,"L9",14
"102",92,"L10",14
"103",93,"L11",14
"104",94,"L12",14
"105",228,"M2",79
"106",56,"Línea A",78
"107",280,"Expresso Turístico • Luz-Paranapiacaba (CPTM)",106
"108",57,"Línea B",78
"109",48,"Línea 2",78
"110",52,"Línea 6",78
"111",49,"Línea 3",78
"112",50,"Línea 4",78
"113",54,"Línea 8",78
"114",58,"Línea 12",78
"115",55,"Línea 9",78
