"","station_name","line_id","opening_stat"
"1","Miguel Hernández",95,1994
"2",NA,110,2003
"3","Arganda del Rey",103,1999
"4","Sol",95,1919
"5","Sevilla",96,1924
"6","Tribunal",95,1919
"7","Atocha",95,1921
"8","Chamberí",95,1919
"9","Tirso de Molina",95,1921
"10","Ríos Rosas",95,1919
"11","Cuatro Caminos",95,1919
"12","Pacífico",95,1923
"13","Retiro",96,1924
"14","Goya",96,1924
"15","Ventas",96,1924
"16","Santo Domingo",96,1925
"17","San Bernardo",96,1925
"18","Quevedo",96,1925
"19","Noviciado",96,1925
"20","Cuatro Caminos",96,1929
"21","Iglesia",95,1919
"22","Estrecho",95,1929
"23","
Lista",96,1932
"24","Antón Martín",95,1921
"25","
Banco de España",96,1924
"26","Ópera",96,1925
"27","Atocha Renfe",95,1988
"28","Príncipe de Vergara",96,1924
"29","Menéndez Pelayo",95,1923
"30","Tetuán",95,1929
"31","Gran Vía",95,1919
"32","Bilbao",95,1919
"33","Puente de Vallecas",95,1923
"34","Príncipe Pío",106,1925
"35","Manuel Becerra",96,1924
"36","Sol",96,1924
"37","Canal",96,1998
"38","Alvarado",95,1929
"39","Diego de León",96,1932
"40","Lavapiés",97,1936
"41","Sol",97,1936
"42","Embajadores",97,1936
"43","Argüelles",98,1944
"44","San Bernardo",98,1944
"45","Bilbao",98,1944
"46","Alonso Martínez",98,1944
"47","Colón",98,1944
"48","Goya",98,1944
"49","Serrano",98,1944
"50","Lista",98,1944
"51","La Poveda",103,1999
"52","Velázquez",98,1944
"53","Rivas Vaciamadrid",103,1999
"54","Rivas Urbanizaciones",103,1999
"55","Plaza de España",97,1941
"56","Mirasierra",103,2011
"57","Palos de la Frontera",97,1949
"58","Paco de Lucía",103,2015
"59","Delicias",97,1951
"60","Diego de León",98,1944
"61","Tres Olivos",104,2007
"62","Hospital Infanta Sofía",104,2007
"63","Reyes Católicos",104,2007
"64","Baunatal",104,2007
"65","Manuel de Falla",104,2007
"66","Urgel",99,1968
"67","Ciudad Lineal",96,1964
"68","Quintana",96,1964
"69","Callao",97,1941
"70","Oporto",99,1968
"71","Pueblo Nuevo
 
",96,1964
"72","Ciudad Lineal",99,1970
"73","Valdeacederas",95,1961
"74","Argüelles",97,1941
"75","Vista Alegre",99,1968
"76","Plaza de Castilla",95,1961
"77","Ventura Rodríguez",97,1941
"78","Pueblo Nuevo",99,1970
"79","Delicias",97,1949
"80","Empalme",104,1961
"81","Portazgo",95,1962
"82","Nueva Numancia",95,1962
"83","Gran Vía",99,1970
"84",NA,98,1979
"85","Príncipe Pío",104,1996
"86","Campamento",104,1961
"87","Lago",104,1961
"88","Batán",104,1961
"89","Chueca",99,1970
"90","Casa de Campo",104,2002
"91","Pacífico",100,1979
"92",NA,98,1979
"93","Aluche",99,2002
"94","Alonso Martínez",99,1970
"95","Plaza de España",104,1961
"96","Eugenia de Montijo",99,1999
"97",NA,98,1973
"98","Empalme",99,2002
"99","Ópera",99,1968
"100","Rubén Darío",99,1970
"101","Latina",99,1968
"102","Moncloa",97,1963
"103","Puerta de Toledo",99,1968
"104",NA,98,1973
"105","Acacias",99,1968
"106","Oporto",100,1981
"107","Pirámides",99,1968
"108","Marques de Vadillo",99,1968
"109",NA,98,1973
"110","Núñez de Balboa",99,1970
"111","El Carmen",96,1964
"112","El Carmen",99,1970
"113","Quintana",99,1970
"114","Diego de León",99,1970
"115","Carpetana",100,1983
"116","El Capricho",99,2006
"117","Ventas",99,1970
"118","Alameda de Osuna",99,2006
"119","Canillejas",99,1980
"120","Torre Arias",99,1980
