"","track_id","city_id","opening_trck","length","city_name","country"
"1",236,71,2002,1332,"Madrid","Spain"
"2",192,71,1949,1304,"Madrid","Spain"
"3",195,71,1963,574,"Madrid","Spain"
"4",219,71,1982,5774,"Madrid","Spain"
"5",269,71,2007,2704,"Madrid","Spain"
"6",267,71,2010,2380,"Madrid","Spain"
"7",235,71,2003,6774,"Madrid","Spain"
"8",237,71,1980,3411,"Madrid","Spain"
"9",262,71,2008,739,"Madrid","Spain"
"10",266,71,2006,2859,"Madrid","Spain"
"11",270,71,2025,19896,"Madrid","Spain"
"12",268,71,2007,7501,"Madrid","Spain"
"13",271,71,2025,3887,"Madrid","Spain"
"14",273,71,2011,4345,"Madrid","Spain"
"15",272,71,2007,1210,"Madrid","Spain"
"16",274,71,2025,2685,"Madrid","Spain"
"17",239,71,1994,1711,"Madrid","Spain"
"18",203,71,1961,1583,"Madrid","Spain"
"19",198,71,1968,6644,"Madrid","Spain"
"20",200,71,1970,2244,"Madrid","Spain"
"21",220,71,1995,6856,"Madrid","Spain"
"22",240,71,1999,2247,"Madrid","Spain"
"23",199,71,1964,2244,"Madrid","Spain"
"24",241,71,1999,470,"Madrid","Spain"
"25",243,71,1998,1820,"Madrid","Spain"
"26",202,71,1961,5062,"Madrid","Spain"
"27",206,71,2006,2083,"Madrid","Spain"
"28",205,71,1980,2763,"Madrid","Spain"
"29",213,71,1981,5542,"Madrid","Spain"
"30",222,71,1998,2129,"Madrid","Spain"
"31",207,71,1968,1578,"Madrid","Spain"
"32",223,71,1986,1910,"Madrid","Spain"
"33",221,71,1981,1360,"Madrid","Spain"
"34",224,71,1998,1831,"Madrid","Spain"
"35",242,71,1999,3783,"Madrid","Spain"
"36",204,71,1961,2368,"Madrid","Spain"
"37",179,71,1919,1408,"Madrid","Spain"
"38",209,71,1973,2050,"Madrid","Spain"
"39",225,71,1999,8999,"Madrid","Spain"
"40",257,71,2011,968,"Madrid","Spain"
"41",208,71,2002,2370,"Madrid","Spain"
"42",258,71,2015,1226,"Madrid","Spain"
"43",210,71,1979,2257,"Madrid","Spain"
"44",211,71,1979,7094,"Madrid","Spain"
"45",180,71,1919,2203,"Madrid","Spain"
"46",259,71,2007,656,"Madrid","Spain"
"47",185,71,1923,2166,"Madrid","Spain"
"48",181,71,1921,1784,"Madrid","Spain"
"49",189,71,1936,1401,"Madrid","Spain"
"50",182,71,1924,3870,"Madrid","Spain"
"51",183,71,1925,2317,"Madrid","Spain"
"52",188,71,1932,1229,"Madrid","Spain"
"53",214,71,1983,1642,"Madrid","Spain"
"54",187,71,1929,1643,"Madrid","Spain"
"55",229,71,1998,3150,"Madrid","Spain"
"56",232,71,1999,1517,"Madrid","Spain"
"57",184,71,1925,894,"Madrid","Spain"
"58",215,71,1987,2071,"Madrid","Spain"
"59",218,71,1983,7256,"Madrid","Spain"
"60",186,71,1929,1462,"Madrid","Spain"
"61",230,71,2002,5407,"Madrid","Spain"
"62",216,71,1975,2285,"Madrid","Spain"
"63",231,71,1998,6457,"Madrid","Spain"
"64",190,71,1944,4608,"Madrid","Spain"
"65",234,71,1998,5763,"Madrid","Spain"
"66",238,71,1986,3073,"Madrid","Spain"
"67",233,71,2007,2079,"Madrid","Spain"
"68",191,71,1941,1883,"Madrid","Spain"
"69",263,71,2007,3104,"Madrid","Spain"
"70",265,71,2007,2229,"Madrid","Spain"
"71",196,71,1961,964,"Madrid","Spain"
"72",197,71,1962,1078,"Madrid","Spain"
"73",217,71,1974,4859,"Madrid","Spain"
"74",260,71,2007,14410,"Madrid","Spain"
"75",201,71,1970,4588,"Madrid","Spain"
"76",193,71,1951,914,"Madrid","Spain"
"77",256,71,1999,18699,"Madrid","Spain"
"78",261,71,2007,8734,"Madrid","Spain"
"79",244,71,2003,40101,"Madrid","Spain"
