"","track_id","city_id","opening_trck","length"
"1",1911,29,0,6719
"2",2563,118,0,199
"3",2557,118,0,925
"4",2558,118,0,881
"5",2564,118,0,213
"6",2565,118,0,321
"7",2566,118,0,320
"8",2567,118,0,1555
"9",3434,114,1926,3534
"10",3433,114,1921,4966
"11",8350,256,0,17
"12",6469,265,2022,1941
"13",19,1,1960,115
"14",1020,87,2002,618
"15",705,69,2000,3232
"16",1918,114,1889,15949
"17",1913,114,1914,1085
"18",1912,114,1913,12887
"19",2559,118,0,284
"20",1915,114,1916,6258
"21",1917,114,1978,2640
"22",1596,114,1972,3781
"23",2560,118,0,283
"24",2561,118,0,395
"25",2562,118,0,403
"26",3167,265,1994,100
"27",3891,95,1993,753
"28",3920,114,1924,1099
"29",2568,118,0,1557
"30",1914,114,1915,1502
"31",2572,118,0,384
"32",1916,114,1925,16060
"33",2571,118,0,290
"34",2573,118,0,291
"35",2574,118,0,539
"36",2575,118,0,545
"37",4893,147,1895,9451
"38",3292,265,2007,73
"39",423,110,1954,1487
"40",4894,147,1905,818
"41",2569,118,0,719
"42",2579,118,0,480
"43",2570,118,0,719
"44",2578,118,0,636
"45",2577,118,0,476
"46",2580,118,0,469
"47",3166,265,1994,220
"48",5343,307,2013,37
"49",3588,95,1997,39
"50",5792,328,1994,20
"51",3293,265,2007,73
"52",6000,102,0,45
"53",4896,147,1926,3515
"54",6053,102,0,524
"55",2576,118,0,391
"56",3172,265,1994,2492
"57",2581,118,0,299
"58",2582,118,0,367
"59",2583,118,0,387
"60",3169,265,1994,148
"61",3294,265,2007,84
"62",3170,265,1994,91
"63",3171,265,1994,91
"64",3295,265,2007,27
"65",8579,102,2017,1122
"66",2585,118,0,1026
"67",2584,118,0,1153
"68",2588,118,0,602
"69",6470,265,2023,1970
"70",2589,118,0,626
"71",934,79,1972,11992
"72",6303,77,0,1008
"73",3974,114,1903,446
"74",3296,265,2007,26
"75",9454,91,1903,1512
"76",3975,114,1904,816
"77",6389,114,1913,345
"78",6307,77,0,1789
"79",175,4,1903,1706
"80",6304,77,0,252
"81",6440,148,2013,940
"82",1245,114,1969,1634
"83",2593,118,0,718
"84",2586,118,0,997
"85",5775,328,1994,474
"86",2592,118,0,712
"87",2587,118,0,1020
"88",2590,118,0,348
"89",2591,118,0,362
"90",1920,114,1980,6536
"91",2594,118,0,958
"92",3310,265,1992,250
"93",3342,266,2002,13
"94",6306,77,0,1353
"95",978,103,2018,632
"96",6441,148,2014,3687
"97",236,71,2002,1332
"98",1924,114,1917,5463
"99",1926,114,1894,7634
"100",1921,114,1944,8045
"101",1408,114,1991,1165
"102",1923,114,2005,37906
"103",1925,114,1922,2511
"104",1928,114,1930,3444
"105",1930,114,1983,1222
"106",3435,114,1926,5669
"107",6391,77,0,247
"108",192,71,1949,1304
"109",195,71,1963,574
"110",1936,114,1968,7164
"111",1927,114,1928,4652
"112",7478,328,1994,115
"113",1922,114,2001,14766
"114",2598,118,0,2853
"115",1929,114,1961,1150
"116",2596,118,0,715
"117",1931,114,1994,1352
"118",1932,114,1927,983
"119",1933,114,1928,1175
"120",1934,114,1950,4572
"121",1935,114,1962,1660
"122",219,71,1982,5774
"123",1937,114,1901,6990
"124",9749,48,0,309
"125",1943,114,1925,693
"126",1940,114,1930,29937
"127",2597,118,0,2833
"128",2600,118,0,111
"129",2601,118,0,173
"130",2599,118,0,111
"131",2602,118,0,173
"132",8971,139,1888,757
"133",269,71,2007,2704
"134",267,71,2010,2380
"135",1938,114,1904,4025
"136",2603,118,0,710
"137",1939,114,1905,9835
"138",1942,114,1931,3398
"139",2624,118,0,27
"140",2607,118,0,1642
"141",2623,118,0,227
